generation,education,marital_status,income,children,expenses,purchases,recency,years,acceptcmpg
Gen_X,graduate,relation,40548.0,1,120,14,31,11.0,1
Baby_boomers,post_graduate,single,46610.0,2,302,23,8,11.0,0
Baby_boomers,post_graduate,relation,68657.0,0,1196,25,4,11.0,0
Baby_boomers,post_graduate,single,49389.0,2,65,13,55,10.0,0
Gen_X,post_graduate,relation,67353.0,1,913,30,37,10.0,0
Gen_X,post_graduate,relation,23718.0,1,81,16,76,11.0,0
Gen_X,graduate,single,42429.0,1,67,12,99,9.0,0
Builder,post_graduate,single,48948.0,0,902,30,53,11.0,1
Millennial,graduate,relation,80011.0,1,1395,25,3,11.0,0
Millennial,post_graduate,relation,20559.0,1,53,15,88,10.0,0
Baby_boomers,graduate,relation,21994.0,1,22,9,4,11.0,0
Baby_boomers,post_graduate,single,52247.25135379061,0,186,11,80,11.0,0
Gen_X,post_graduate,relation,7500.0,1,31,13,19,11.0,0
Gen_X,graduate,single,79941.0,0,984,17,72,10.0,0
Gen_Z,post_graduate,relation,7500.0,0,122,19,24,11.0,0
Gen_X,graduate,relation,41728.0,1,55,15,92,11.0,0
Baby_boomers,graduate,single,52247.25135379061,3,124,16,96,10.0,0
Baby_boomers,post_graduate,relation,72550.0,2,1319,36,39,11.0,0
Baby_boomers,graduate,single,65486.0,1,507,19,29,9.0,0
Baby_boomers,post_graduate,relation,79143.0,0,1693,32,2,11.0,0
Gen_X,graduate,single,35790.0,1,72,14,54,11.0,0
Gen_X,graduate,single,82582.0,0,1617,22,54,9.0,2
Gen_X,graduate,relation,66373.0,2,606,26,57,10.0,0
Baby_boomers,post_graduate,relation,82384.0,0,1957,28,55,11.0,1
Gen_X,graduate,single,70287.0,0,1093,24,30,11.0,0
Millennial,graduate,single,27938.0,1,29,9,31,10.0,0
Millennial,graduate,single,52247.25135379061,1,46,13,57,11.0,0
Gen_X,post_graduate,relation,55954.0,1,518,26,63,10.0,0
Millennial,post_graduate,single,75777.0,0,1438,22,12,11.0,2
Gen_X,graduate,relation,66653.0,2,612,25,18,11.0,0
Baby_boomers,graduate,single,61823.0,1,884,31,26,11.0,0
Baby_boomers,post_graduate,single,67680.0,1,606,24,8,10.0,0
Baby_boomers,graduate,relation,70666.0,0,1076,20,29,11.0,0
Gen_X,graduate,relation,25721.0,1,34,12,75,11.0,0
Gen_X,graduate,relation,32474.0,2,11,11,0,9.0,0
Gen_X,post_graduate,single,88194.0,1,1274,37,19,10.0,2
Baby_boomers,graduate,relation,69096.0,1,653,22,4,10.0,0
Gen_X,graduate,relation,74854.0,3,1562,24,90,10.0,0
Baby_boomers,post_graduate,relation,66991.0,0,1253,24,1,11.0,0
Gen_X,post_graduate,relation,52247.25135379061,1,109,17,25,11.0,0
Baby_boomers,graduate,relation,65031.0,1,863,37,29,11.0,0
Gen_X,post_graduate,relation,60631.0,2,661,31,88,11.0,1
Baby_boomers,graduate,relation,28332.0,0,65,10,58,10.0,0
Gen_X,graduate,single,40246.0,1,13,10,68,11.0,0
Gen_X,post_graduate,relation,75251.0,0,1890,24,34,11.0,0
Gen_X,graduate,single,75825.0,0,2209,26,40,11.0,1
Gen_X,post_graduate,relation,26326.0,0,18,7,12,11.0,0
Gen_X,graduate,relation,56046.0,0,692,29,9,11.0,1
Millennial,graduate,single,29760.0,1,165,20,87,11.0,0
Gen_X,graduate,relation,26304.0,1,16,11,5,11.0,0
Gen_X,post_graduate,relation,23559.0,1,79,16,87,11.0,0
Baby_boomers,post_graduate,relation,38620.0,0,318,14,56,10.0,0
Millennial,graduate,single,81361.0,0,778,28,18,10.0,0
Baby_boomers,graduate,relation,29440.0,2,56,14,95,10.0,0
Gen_X,post_graduate,relation,36138.0,2,151,20,48,10.0,1
Baby_boomers,graduate,single,50388.0,1,372,24,3,10.0,2
Gen_X,graduate,relation,79593.0,0,1366,21,70,9.0,1
Gen_X,graduate,relation,54178.0,1,194,12,79,10.0,0
Baby_boomers,post_graduate,relation,52247.25135379061,3,603,38,4,11.0,0
Baby_boomers,graduate,single,52247.25135379061,2,18,11,45,10.0,0
Gen_X,post_graduate,relation,52247.25135379061,0,985,16,87,10.0,0
Gen_X,post_graduate,single,42394.0,1,32,12,69,10.0,0
Gen_X,post_graduate,relation,23626.0,1,43,15,84,10.0,0
Millennial,graduate,relation,30096.0,1,45,12,30,10.0,0
Baby_boomers,graduate,single,47916.0,1,606,28,72,11.0,1
Gen_X,graduate,single,51813.0,2,63,14,37,10.0,0
Baby_boomers,post_graduate,relation,78497.0,0,978,27,44,11.0,1
Millennial,post_graduate,relation,50150.0,0,410,21,32,11.0,0
Baby_boomers,post_graduate,single,47823.0,1,72,15,0,10.0,0
Baby_boomers,post_graduate,single,34554.0,1,55,13,43,10.0,0
Gen_X,graduate,relation,85693.0,1,1169,32,59,11.0,0
Builder,post_graduate,relation,65846.0,0,1120,20,68,11.0,0
Baby_boomers,graduate,relation,87195.0,0,1097,21,35,9.0,0
Gen_X,under_graduate,relation,24594.0,1,29,10,94,10.0,0
Baby_boomers,graduate,relation,49096.0,2,187,20,15,10.0,0
Gen_X,graduate,relation,52413.0,2,910,32,56,11.0,0
Gen_X,graduate,single,38557.0,1,145,16,17,11.0,0
Baby_boomers,post_graduate,relation,89058.0,0,850,16,18,11.0,0
Gen_X,graduate,relation,77298.0,1,969,27,46,11.0,0
Millennial,post_graduate,single,68126.0,0,1820,26,40,11.0,1
Baby_boomers,post_graduate,relation,57288.0,1,608,26,27,10.0,1
Millennial,graduate,single,86037.0,0,730,28,95,11.0,2
Millennial,post_graduate,relation,43974.0,1,551,28,19,11.0,0
Baby_boomers,graduate,single,50785.0,2,114,14,27,10.0,0
Gen_X,graduate,relation,90765.0,0,1724,16,25,10.0,2
Gen_X,post_graduate,relation,36550.0,1,577,29,74,11.0,0
Gen_X,post_graduate,relation,30753.0,2,81,12,85,10.0,0
Gen_X,graduate,relation,21918.0,1,33,13,37,10.0,0
Baby_boomers,post_graduate,relation,56129.0,1,660,26,65,11.0,0
Gen_X,post_graduate,single,32557.0,1,80,14,13,10.0,0
Millennial,post_graduate,relation,19510.0,2,30,13,63,11.0,0
Gen_X,graduate,single,30992.0,1,43,12,83,11.0,0
Millennial,graduate,single,101970.0,0,1135,29,69,10.0,3
Gen_X,post_graduate,relation,71488.0,0,559,17,87,11.0,0
Millennial,graduate,single,79607.0,0,1923,17,37,11.0,0
Baby_boomers,post_graduate,relation,54348.0,2,90,14,51,9.0,0
Baby_boomers,post_graduate,relation,52247.25135379061,1,404,23,23,10.0,0
Baby_boomers,post_graduate,relation,77376.0,2,661,27,72,9.0,0
Baby_boomers,graduate,relation,62998.0,1,463,24,10,10.0,0
Baby_boomers,post_graduate,single,61331.0,2,632,31,42,10.0,0
Gen_X,graduate,relation,73448.0,0,725,23,10,9.0,0
Baby_boomers,graduate,relation,52247.25135379061,1,725,23,96,10.0,0
Baby_boomers,post_graduate,relation,41551.0,2,279,24,51,10.0,0
Gen_X,post_graduate,relation,62981.0,0,1482,26,21,11.0,1
Gen_X,under_graduate,single,9548.0,1,29,14,31,11.0,0
Baby_boomers,post_graduate,relation,33762.0,3,106,17,61,10.0,0
Gen_X,post_graduate,single,35860.0,2,49,11,37,10.0,1
Gen_X,post_graduate,single,36921.0,2,38,14,74,10.0,0
Millennial,post_graduate,single,92859.0,0,2077,24,46,11.0,0
Gen_X,post_graduate,relation,65104.0,1,1053,24,4,10.0,0
Baby_boomers,graduate,relation,86111.0,0,1385,25,73,11.0,0
Gen_X,post_graduate,single,68352.0,1,871,31,47,10.0,0
Millennial,graduate,relation,41883.0,1,312,19,13,11.0,0
Gen_X,graduate,relation,59809.0,2,877,23,36,11.0,0
Gen_X,graduate,relation,23957.0,1,68,12,47,11.0,0
Millennial,graduate,relation,38547.0,1,22,12,49,10.0,0
Gen_X,post_graduate,relation,35688.0,3,211,24,94,11.0,0
Gen_X,post_graduate,relation,49605.0,0,127,11,65,10.0,0
Baby_boomers,post_graduate,relation,59354.0,2,459,19,59,10.0,0
Gen_X,graduate,relation,65747.0,1,460,25,96,10.0,1
Gen_X,post_graduate,relation,46344.0,1,429,24,28,11.0,0
Millennial,graduate,single,34176.0,1,89,17,12,9.0,0
Baby_boomers,post_graduate,relation,61010.0,1,1021,31,57,11.0,0
Baby_boomers,graduate,relation,69372.0,0,1381,25,10,11.0,2
Baby_boomers,graduate,single,49967.0,1,306,22,4,10.0,0
Gen_X,graduate,single,60199.0,3,18,8,49,10.0,0
Gen_X,graduate,relation,55375.0,1,162,11,3,10.0,0
Baby_boomers,graduate,single,80317.0,0,1231,19,64,10.0,0
Baby_boomers,post_graduate,single,30523.0,3,13,11,0,11.0,0
Builder,post_graduate,relation,70356.0,0,1706,33,20,12.0,0
Millennial,graduate,relation,23228.0,1,121,19,91,10.0,0
Gen_X,post_graduate,single,74165.0,0,1293,22,9,11.0,0
Gen_X,post_graduate,relation,157243.0,1,1608,37,98,10.0,0
Gen_X,graduate,relation,43482.0,3,88,15,83,10.0,0
Baby_boomers,graduate,single,62551.0,0,421,21,27,10.0,1
Baby_boomers,graduate,single,52332.0,0,259,16,63,10.0,1
Millennial,graduate,single,66951.0,0,1117,16,46,11.0,0
Baby_boomers,graduate,relation,26091.0,2,89,14,84,10.0,0
Gen_X,graduate,relation,33456.0,2,36,13,58,10.0,0
Millennial,graduate,relation,28718.0,1,57,15,78,10.0,0
Gen_X,graduate,relation,50447.0,2,148,14,4,10.0,0
Baby_boomers,post_graduate,relation,53537.0,2,93,13,17,10.0,0
Gen_X,graduate,single,52074.0,1,119,11,77,10.0,1
Gen_X,post_graduate,relation,80427.0,1,1835,33,56,11.0,0
Baby_boomers,post_graduate,relation,83837.0,0,1318,29,79,11.0,2
Gen_X,post_graduate,relation,38853.0,2,45,14,90,10.0,0
Baby_boomers,graduate,relation,38285.0,3,10,6,96,10.0,0
Baby_boomers,post_graduate,relation,78497.0,0,978,27,44,11.0,1
Gen_X,post_graduate,relation,51650.0,1,191,15,81,9.0,0
Millennial,post_graduate,relation,16248.0,1,57,15,77,9.0,0
Baby_boomers,post_graduate,relation,66835.0,0,1033,26,21,10.0,0
Millennial,post_graduate,relation,30477.0,1,66,12,16,10.0,0
Baby_boomers,under_graduate,relation,28249.0,0,43,12,80,10.0,0
Millennial,graduate,relation,25271.0,1,50,14,45,12.0,0
Gen_X,post_graduate,single,32303.0,1,39,12,63,9.0,0
Gen_X,graduate,relation,61286.0,1,608,23,34,11.0,0
Gen_X,graduate,relation,74068.0,0,1581,26,14,11.0,0
Baby_boomers,post_graduate,relation,45759.0,2,68,14,13,11.0,0
Gen_X,under_graduate,relation,24882.0,1,80,11,52,11.0,1
Millennial,post_graduate,relation,66973.0,0,1282,31,98,11.0,0
Builder,post_graduate,single,36640.0,1,65,11,99,10.0,0
Millennial,graduate,relation,38872.0,1,91,16,93,11.0,0
Gen_X,graduate,relation,51148.0,2,315,22,38,11.0,0
Gen_X,graduate,relation,31353.0,2,31,14,24,10.0,0
Millennial,post_graduate,relation,69661.0,0,834,26,80,10.0,0
Baby_boomers,graduate,relation,80067.0,0,1600,19,82,10.0,1
Baby_boomers,graduate,relation,86718.0,0,1270,19,20,11.0,0
Gen_X,post_graduate,single,46854.0,2,263,23,81,10.0,1
Baby_boomers,graduate,single,69142.0,1,535,24,50,10.0,1
Gen_X,graduate,single,75922.0,0,1295,19,60,10.0,0
Gen_X,graduate,single,63693.0,1,1150,35,63,10.0,0
Gen_X,post_graduate,relation,102160.0,0,1240,30,54,12.0,3
Gen_X,post_graduate,single,40637.0,2,38,13,72,10.0,0
Millennial,post_graduate,single,18890.0,0,35,10,5,11.0,1
Millennial,graduate,relation,29604.0,1,53,14,88,10.0,1
Baby_boomers,post_graduate,single,48721.0,2,293,23,50,11.0,0
Gen_X,graduate,relation,44794.0,1,65,12,99,9.0,0
Baby_boomers,graduate,single,64497.0,1,1804,37,17,11.0,1
Baby_boomers,graduate,relation,46097.0,1,241,19,11,11.0,0
Baby_boomers,graduate,relation,77972.0,0,1101,21,18,10.0,0
Gen_X,post_graduate,relation,44377.0,2,264,27,70,12.0,0
Gen_X,post_graduate,relation,46014.0,2,541,33,21,11.0,0
Millennial,graduate,relation,70951.0,0,1198,18,66,11.0,0
Gen_X,graduate,relation,41443.0,1,482,28,79,10.0,0
Gen_X,post_graduate,single,52195.0,3,17,12,2,9.0,0
Baby_boomers,post_graduate,relation,83790.0,0,1615,28,81,10.0,2
Baby_boomers,post_graduate,single,44551.0,1,285,19,24,10.0,0
Millennial,graduate,relation,69508.0,1,1135,34,48,11.0,0
Millennial,post_graduate,relation,45204.0,1,114,10,93,9.0,0
Gen_X,graduate,relation,72460.0,0,1047,17,56,10.0,0
Gen_X,post_graduate,relation,77622.0,2,714,25,3,10.0,0
Millennial,post_graduate,relation,30732.0,1,185,21,44,11.0,0
Baby_boomers,graduate,single,63887.0,1,1245,38,38,11.0,0
Gen_X,graduate,relation,42011.0,1,189,20,46,11.0,0
Gen_X,graduate,relation,51369.0,1,576,24,84,11.0,0
Baby_boomers,graduate,single,51537.0,1,1103,26,27,11.0,0
Gen_X,post_graduate,relation,79930.0,0,1753,19,72,11.0,0
Millennial,post_graduate,relation,34320.0,1,17,12,66,10.0,0
Gen_X,graduate,single,37070.0,2,433,30,30,11.0,0
Baby_boomers,post_graduate,single,81975.0,1,1588,21,2,11.0,1
Gen_X,graduate,relation,38590.0,1,22,12,65,11.0,0
Baby_boomers,graduate,single,15033.0,0,19,8,37,10.0,0
Gen_X,post_graduate,relation,62745.0,1,1117,34,89,11.0,0
Gen_X,post_graduate,relation,22212.0,1,69,14,49,10.0,0
Millennial,post_graduate,relation,23661.0,1,23,12,46,11.0,0
Baby_boomers,post_graduate,single,79761.0,1,605,22,32,11.0,0
Gen_X,graduate,single,7500.0,1,57,18,54,10.0,0
Builder,post_graduate,single,60182.0,1,22,8,23,10.0,0
Gen_X,graduate,single,73455.0,0,2088,25,98,10.0,1
Baby_boomers,graduate,relation,64961.0,1,1009,19,97,11.0,0
Gen_X,graduate,single,22804.0,1,26,14,75,10.0,0
Millennial,graduate,relation,73687.0,0,1627,24,8,10.0,1
Baby_boomers,graduate,relation,61074.0,1,1102,38,37,11.0,0
Baby_boomers,post_graduate,relation,31686.0,2,17,12,31,10.0,0
Gen_X,graduate,relation,80134.0,1,1690,22,40,11.0,3
Baby_boomers,graduate,relation,75027.0,1,1390,26,74,10.0,0
Millennial,post_graduate,relation,67546.0,0,2126,23,90,11.0,0
Gen_X,post_graduate,relation,65176.0,1,1531,31,57,11.0,0
Gen_X,post_graduate,single,31160.0,1,64,15,59,10.0,0
Millennial,graduate,single,29938.0,1,26,12,52,10.0,0
Gen_X,graduate,single,102692.0,0,1112,31,5,11.0,4
Baby_boomers,post_graduate,relation,26490.0,0,210,17,92,11.0,0
Gen_X,graduate,relation,75702.0,2,1148,34,77,11.0,0
Gen_X,post_graduate,single,30899.0,1,33,12,35,11.0,0
Baby_boomers,post_graduate,relation,63342.0,1,1101,25,48,11.0,1
Baby_boomers,graduate,single,45989.0,1,322,19,97,11.0,0
Baby_boomers,graduate,single,18701.0,2,44,15,95,11.0,0
Baby_boomers,post_graduate,single,40737.0,3,17,12,24,10.0,0
Gen_X,graduate,single,15287.0,1,31,13,60,11.0,1
Gen_X,post_graduate,single,69674.0,2,845,30,46,11.0,0
Gen_X,post_graduate,relation,44159.0,1,275,20,85,10.0,0
Gen_X,post_graduate,relation,37717.0,1,25,13,31,11.0,0
Baby_boomers,post_graduate,relation,43776.0,2,275,25,9,11.0,0
Gen_X,post_graduate,relation,38179.0,2,90,18,30,11.0,0
Baby_boomers,graduate,relation,80124.0,0,1495,20,47,10.0,1
Gen_X,post_graduate,relation,38097.0,2,184,18,70,11.0,1
Gen_X,graduate,relation,72940.0,0,981,14,13,11.0,0
Gen_X,graduate,relation,22070.0,1,67,14,11,11.0,0
Baby_boomers,graduate,single,69267.0,0,1635,21,31,11.0,0
Millennial,post_graduate,single,31788.0,1,60,15,15,10.0,0
Gen_X,post_graduate,relation,61905.0,1,231,17,2,10.0,0
Baby_boomers,graduate,relation,29315.0,2,48,16,55,10.0,0
Baby_boomers,graduate,single,33378.0,2,99,16,38,11.0,0
Baby_boomers,post_graduate,relation,66313.0,1,770,27,86,10.0,0
Baby_boomers,graduate,single,60714.0,0,957,28,56,11.0,0
Millennial,post_graduate,relation,77882.0,0,818,13,29,10.0,0
Millennial,post_graduate,single,69867.0,0,925,18,30,11.0,1
Gen_X,post_graduate,single,63841.0,1,908,28,64,11.0,0
Millennial,under_graduate,relation,24480.0,1,102,17,46,10.0,0
Gen_X,graduate,relation,51369.0,1,576,24,84,11.0,0
Baby_boomers,graduate,relation,37760.0,0,317,20,20,11.0,0
Gen_X,post_graduate,relation,65640.0,1,461,17,74,10.0,0
Gen_X,post_graduate,relation,44319.0,2,37,12,18,10.0,0
Gen_X,graduate,relation,30631.0,1,70,14,75,10.0,0
Baby_boomers,graduate,relation,75278.0,0,930,26,17,11.0,0
Baby_boomers,post_graduate,relation,50898.0,2,859,38,88,10.0,0
Gen_X,graduate,single,79946.0,0,1478,25,19,9.0,0
Baby_boomers,post_graduate,single,35416.0,0,390,24,62,11.0,0
Millennial,post_graduate,relation,32414.0,0,52,12,11,11.0,1
Gen_X,graduate,relation,38361.0,1,137,17,74,10.0,0
Millennial,graduate,relation,82497.0,0,1919,23,32,11.0,1
Gen_X,graduate,relation,16626.0,2,68,18,76,10.0,0
Gen_X,graduate,relation,29672.0,2,25,10,6,10.0,0
Baby_boomers,post_graduate,relation,55951.0,1,1374,31,62,11.0,2
Millennial,post_graduate,single,35388.0,1,32,12,20,11.0,0
Millennial,post_graduate,relation,42386.0,1,100,15,43,11.0,0
Millennial,graduate,single,68627.0,0,825,13,45,10.0,0
Gen_X,post_graduate,single,57912.0,1,916,33,34,10.0,1
Baby_boomers,graduate,single,35246.0,2,62,16,53,10.0,0
Baby_boomers,post_graduate,relation,58821.0,1,728,27,44,10.0,0
Gen_X,post_graduate,relation,46377.0,1,90,11,89,10.0,0
Millennial,graduate,single,39747.0,1,273,21,43,10.0,0
Millennial,graduate,relation,23976.0,1,66,17,68,10.0,0
Baby_boomers,post_graduate,relation,80950.0,0,1213,25,44,11.0,1
Gen_X,graduate,single,27038.0,0,107,16,64,11.0,0
Baby_boomers,graduate,single,77457.0,0,1157,19,85,10.0,1
Baby_boomers,post_graduate,relation,64100.0,1,546,25,93,10.0,1
Millennial,post_graduate,relation,42670.0,0,241,15,12,11.0,0
Gen_X,graduate,single,12571.0,1,53,17,86,10.0,0
Gen_X,graduate,relation,22574.0,3,37,14,28,10.0,0
Millennial,graduate,relation,52247.25135379061,0,1611,27,69,11.0,2
Gen_X,post_graduate,single,70893.0,0,1508,26,42,11.0,0
Gen_X,graduate,relation,54198.0,2,235,20,13,10.0,0
Baby_boomers,post_graduate,relation,28839.0,2,32,12,86,9.0,0
Gen_X,graduate,relation,40321.0,2,102,15,59,10.0,0
Millennial,graduate,single,66503.0,1,401,18,30,11.0,0
Baby_boomers,graduate,relation,30833.0,2,28,11,33,10.0,0
Gen_X,graduate,single,52247.25135379061,3,1052,28,67,10.0,2
Gen_X,graduate,relation,64795.0,1,680,23,23,11.0,0
Gen_X,graduate,relation,34421.0,1,30,11,81,11.0,0
Gen_X,post_graduate,single,47025.0,2,20,11,6,9.0,0
Baby_boomers,post_graduate,single,64325.0,1,1307,30,41,11.0,0
Baby_boomers,graduate,single,40464.0,1,630,32,78,10.0,0
Baby_boomers,graduate,relation,62187.0,0,1283,21,49,11.0,0
Gen_X,post_graduate,single,14849.0,1,65,17,39,11.0,0
Millennial,graduate,relation,27255.0,1,37,12,3,10.0,0
Baby_boomers,post_graduate,relation,54432.0,3,38,9,37,10.0,0
Millennial,post_graduate,single,29999.0,1,160,20,22,11.0,0
Millennial,graduate,single,24072.0,1,23,12,79,11.0,0
Millennial,post_graduate,single,33996.0,0,71,10,46,10.0,0
Baby_boomers,post_graduate,relation,66334.0,1,1161,24,82,11.0,0
Gen_X,post_graduate,relation,35178.0,1,59,12,10,10.0,1
Millennial,graduate,relation,22010.0,1,33,15,51,11.0,0
Baby_boomers,graduate,single,62204.0,2,946,25,38,11.0,0
Gen_X,graduate,single,75693.0,0,1442,26,10,12.0,3
Gen_X,graduate,relation,30675.0,1,62,13,14,11.0,0
Gen_X,graduate,relation,83003.0,0,1674,25,18,11.0,1
Builder,post_graduate,relation,83532.0,0,1853,16,36,10.0,1
Millennial,graduate,single,68655.0,0,1538,24,95,11.0,0
Millennial,graduate,single,41411.0,0,139,14,11,10.0,0
Gen_X,post_graduate,relation,55212.0,1,1182,28,65,11.0,2
Baby_boomers,post_graduate,relation,59292.0,1,507,21,71,11.0,0
Gen_X,under_graduate,relation,27190.0,1,18,12,13,10.0,1
Baby_boomers,graduate,single,82623.0,0,940,17,58,10.0,0
Gen_X,graduate,relation,44300.0,2,42,12,65,11.0,0
Gen_X,graduate,single,84835.0,0,1190,16,0,10.0,0
Gen_X,graduate,single,30372.0,2,44,15,33,11.0,0
Gen_X,post_graduate,relation,33181.0,1,16,10,90,10.0,1
Baby_boomers,graduate,relation,71113.0,1,835,30,95,10.0,0
Millennial,graduate,relation,71952.0,1,1443,26,93,10.0,2
Gen_X,post_graduate,single,69759.0,0,1029,21,38,10.0,0
Gen_X,graduate,relation,72099.0,0,1188,19,18,11.0,0
Gen_X,post_graduate,single,60000.0,1,1277,30,57,11.0,0
Gen_X,graduate,single,38643.0,2,49,14,45,10.0,0
Baby_boomers,graduate,relation,50737.0,1,99,13,61,10.0,1
Gen_X,post_graduate,relation,68462.0,0,1670,16,6,11.0,0
Builder,post_graduate,relation,65073.0,0,900,16,65,10.0,0
Baby_boomers,post_graduate,relation,46681.0,2,425,21,52,10.0,0
Baby_boomers,graduate,relation,78618.0,0,2153,24,87,11.0,1
Gen_X,post_graduate,single,62187.0,1,636,25,38,10.0,0
Gen_X,graduate,relation,28442.0,2,57,14,53,10.0,0
Gen_X,post_graduate,relation,37717.0,1,25,13,31,11.0,0
Gen_X,graduate,relation,51479.0,2,494,29,67,11.0,0
Gen_X,graduate,single,54803.0,1,693,23,65,11.0,0
Baby_boomers,graduate,relation,79530.0,0,1348,28,64,11.0,0
Gen_X,graduate,single,31615.0,1,51,14,82,11.0,0
Baby_boomers,graduate,relation,72025.0,0,1932,19,27,11.0,0
Gen_X,post_graduate,single,52614.0,1,990,24,63,12.0,0
Millennial,post_graduate,relation,35684.0,1,30,11,66,10.0,0
Gen_X,graduate,relation,48178.0,2,254,24,69,11.0,0
Gen_X,post_graduate,single,29548.0,1,29,9,52,10.0,1
Gen_X,graduate,single,63810.0,1,1371,31,45,11.0,1
Gen_X,post_graduate,single,38578.0,2,73,17,2,11.0,0
Gen_X,post_graduate,single,46098.0,2,120,19,86,11.0,0
Gen_X,graduate,single,22585.0,0,81,14,23,11.0,1
Millennial,graduate,single,30279.0,1,37,13,13,11.0,0
Baby_boomers,post_graduate,relation,66426.0,1,1377,26,14,11.0,0
Gen_X,graduate,single,30822.0,1,51,12,92,11.0,0
Gen_X,post_graduate,relation,33581.0,2,17,12,38,10.0,0
Millennial,graduate,relation,19986.0,1,22,11,74,10.0,0
Baby_boomers,graduate,single,27421.0,0,324,21,14,11.0,0
Gen_X,post_graduate,relation,35688.0,3,211,24,94,11.0,0
Millennial,post_graduate,single,36143.0,1,19,7,33,10.0,0
Gen_X,graduate,single,10245.0,1,41,13,32,11.0,0
Gen_X,post_graduate,relation,43795.0,1,492,24,11,10.0,1
Baby_boomers,graduate,relation,63381.0,1,1005,28,78,12.0,0
Baby_boomers,graduate,relation,38823.0,1,114,13,56,11.0,0
Gen_X,post_graduate,single,83664.0,2,1173,24,57,10.0,0
Gen_X,graduate,relation,90300.0,0,1738,20,7,10.0,1
Gen_X,post_graduate,relation,62499.0,1,222,16,0,10.0,0
Millennial,graduate,single,74293.0,0,1127,18,66,10.0,0
Baby_boomers,post_graduate,relation,51012.0,0,209,16,86,11.0,0
Gen_X,post_graduate,relation,70777.0,1,787,26,80,10.0,0
Millennial,post_graduate,relation,68682.0,0,1598,26,56,11.0,0
Gen_X,graduate,relation,43824.0,2,186,20,18,11.0,0
Millennial,graduate,relation,15345.0,1,47,14,51,11.0,0
Millennial,graduate,single,23442.0,1,27,12,71,11.0,0
Millennial,post_graduate,relation,14515.0,1,96,18,71,11.0,0
Baby_boomers,post_graduate,single,31395.0,2,64,16,80,11.0,0
Gen_X,graduate,relation,75276.0,0,1040,28,2,11.0,0
Gen_X,graduate,single,42373.0,2,163,18,83,10.0,0
Baby_boomers,graduate,relation,30507.0,0,343,18,29,10.0,0
Baby_boomers,post_graduate,single,55521.0,3,446,31,11,10.0,1
Gen_X,graduate,relation,48006.0,2,41,11,55,9.0,0
Gen_X,post_graduate,single,27213.0,1,70,17,19,11.0,0
Gen_X,post_graduate,single,65808.0,2,272,20,1,10.0,0
Gen_X,post_graduate,relation,30351.0,1,46,15,19,11.0,0
Baby_boomers,graduate,relation,50437.0,2,490,26,28,11.0,0
Millennial,post_graduate,single,23616.0,1,79,16,76,11.0,0
Gen_X,graduate,relation,53858.0,1,915,21,50,11.0,0
Baby_boomers,post_graduate,relation,66465.0,1,1485,41,1,11.0,1
Millennial,graduate,single,46923.0,1,369,23,90,11.0,0
Baby_boomers,graduate,relation,75072.0,1,1073,22,83,11.0,0
Builder,post_graduate,relation,75865.0,0,1242,20,73,10.0,0
Gen_X,post_graduate,relation,19789.0,1,78,14,24,10.0,1
